Well;Date_;Monthly_Gas_Injection_MMscf;Daily_Gas_Injection_MMscf;Pwh_psi;Twh_C;Work_Days;Notes
X-1514;1981-08-01;10.75;0.35;900.0;;31;
X-7401;1981-08-01;14.63;0.47;655.0;;31;
X-7785;1981-08-01;10.83;0.35;870.0;;31;
X-7147;1981-08-01;17.72;0.57;420.0;;31;
X-2035;1981-08-01;11.9;0.38;765.0;;31;
X-8088;1981-08-01;20.04;0.65;255.0;;31;
X-6867;1981-08-01;8.34;0.31;350.0;;27;
X-9652;1981-08-01;6.59;0.35;900.0;;19;
X-7033;1981-08-01;9.13;0.34;310.0;;27;
X-2144;1981-08-01;16.78;0.54;580.0;;31;
X-10421;1981-08-01;20.5;0.66;200.0;;31;
X-9108;1981-08-01;14.77;0.48;600.0;;31;
X-3073;1981-08-01;11.58;0.37;750.0;;31;
X-7571;1981-08-01;7.21;0.23;920.0;;31;
X-4269;1981-08-01;7.92;0.26;900.0;;31;
X-5334;1981-08-01;9.41;0.3;920.0;;31;
X-1499;1981-08-01;11.14;0.38;830.0;;29;
X-1602;1981-08-01;8.46;0.27;950.0;;31;
X-1383;1981-08-01;19.14;0.62;305.0;;31;
X-2282;1981-08-01;12.79;0.41;705.0;;31;
X-3632;1981-08-01;14.43;0.47;570.0;;31;
X-41;1981-08-01;17.33;0.56;520.0;;31;
X-8761;1981-08-01;13.15;0.42;705.0;;31;
X-5861;1981-08-01;18.93;0.68;350.0;;28;
X-5658;1981-08-01;13.25;0.43;700.0;;31;
X-676;1981-08-01;18.84;0.61;355.0;;31;
X-5442;1981-08-01;16.87;0.54;550.0;;31;
X-5059;1981-08-01;21.9;0.71;200.0;;31;
X-2375;1981-08-01;20.9;0.67;250.0;;31;
X-2220;1981-08-01;10.97;0.35;800.0;;31;
X-9186;1981-08-01;15.63;0.5;500.0;;31;
X-4528;1981-08-01;17.06;0.55;410.0;;31;
X-2656;1981-08-01;12.99;0.42;780.0;;31;
X-5423;1981-08-01;12.61;0.45;750.0;;28;
X-8471;1981-08-01;7.14;0.25;975.0;;29;
X-9021;1981-08-01;4.99;0.26;990.0;;19;
X-6333;1981-08-01;19.35;0.62;390.0;;31;
X-1514;1981-07-01;13.24;0.43;890.0;;31;
X-7401;1981-07-01;17.55;0.57;650.0;;31;
X-7785;1981-07-01;10.94;0.35;900.0;;31;
X-7147;1981-07-01;20.62;0.67;440.0;;31;
X-2035;1981-07-01;12.25;0.4;850.0;;31;
X-8088;1981-07-01;23.71;0.76;260.0;;31;
X-9652;1981-07-01;12.93;0.42;900.0;;31;
X-2144;1981-07-01;19.36;0.62;580.0;;31;
