Well;Date_;Monthly_Gas_Production_Mscf;Monthly_Water_Production_bbl;Daily_Gas_Production_Mscf;Pwh_psi;Work_Days;Notes
X-6623;1.12.1981;2755.1;83;88.9;;30.99;
X-7221;1.12.1981;1632.7;164;77.8;;20.99;
X-3896;1.12.1981;6198.9;21;200;;30.99;
X-787;1.12.1981;8398.1;48;311.2;;26.99;
X-7263;1.12.1981;14464.1;31;466.7;;30.99;
X-2565;1.12.1981;2755.1;1399;88.9;;30.99;
X-2601;1.12.1981;2755.1;171;88.9;;30.99;
X-10537;1.12.1981;4867.4;221;266.7;;18.25;
X-4241;1.12.1981;2066.4;112;66.7;;30.99;
X-2212;1.12.1981;2066.4;56;66.7;;30.99;
X-4147;1.12.1981;9124.9;102;355.6;;25.66;
X-4715;1.12.1981;1684.7;203;55.6;;30.32;
X-9940;1.12.1981;611.1;385;33.3;;18.33;
X-7046;1.12.1981;688.7;145;22.2;;30.99;
X-3716;1.12.1981;11020.2;12;355.6;;30.99;
X-4480;1.12.1981;1721.9;10;55.6;;30.99;
X-7619;1.12.1981;2888.1;130;111.1;;25.99;
X-3862;1.12.1981;688.7;101;22.2;;30.99;
X-2649;1.12.1981;1340.7;685;44.5;;30.16;
X-9029;1.12.1981;344.4;64;11.1;;30.99;
X-790;1.12.1981;2040.3;12;66.7;;30.6;
X-4896;1.12.1981;4665.1;144;222.3;;20.99;
X-9386;1.12.1981;1721.9;10;55.6;;30.99;
X-263;1.12.1981;1721.9;910;55.6;;30.99;
X-8545;1.12.1981;4476.9;1095;144.5;;30.99;
X-5518;1.12.1981;3398.3;2053;111.1;;30.58;
X-7720;1.12.1981;971.6;95;77.8;;12.49;
X-1987;1.12.1981;344.4;4;11.1;;30.99;
X-7229;1.12.1981;5892.1;124;205.6;;28.66;
X-7111;1.12.1981;1721.9;47;55.6;;30.99;
X-2392;1.12.1981;1721.9;55;55.6;;30.99;
X-4190;1.12.1981;2999.3;316;111.1;;26.99;
X-9983;1.12.1981;339.7;67;11.1;;30.57;
X-8421;1.12.1981;8265.2;33;266.7;;30.99;
X-6133;1.12.1981;1377.5;141;44.4;;30.99;
X-520;1.12.1981;7289;42;266.7;;27.33;
X-396;1.12.1981;6887.7;17;222.3;;30.99;
X-10953;1.12.1981;314.8;103;11.1;;28.33;
X-7127;1.12.1981;933.4;17;33.3;;28;
X-10937;1.12.1981;8953.9;35;288.9;;30.99;
X-3811;1.12.1981;1472.4;1156;55.6;;26.5;
X-7983;1.12.1981;1377.5;1474;44.4;;30.99;
X-5545;1.12.1981;1866.1;412;77.8;;23.99;
X-252;1.12.1981;1699.1;258;55.6;;30.58;
X-3848;1.12.1981;9642.6;81;311.2;;30.99;
X-4873;1.12.1981;2066.4;458;66.7;;30.99;
X-8280;1.12.1981;1377.5;61;44.4;;30.99;
X-5069;1.12.1981;4821.3;63;155.6;;30.99;
X-9749;1.12.1981;6887.7;48;222.3;;30.99;
X-7070;1.12.1981;688.7;34;22.2;;30.99;
X-128;1.12.1981;5165.7;295;166.7;;30.99;
X-8919;1.12.1981;181.4;122;11.1;;16.33;
X-7454;1.12.1981;1721.9;23;55.6;;30.99;
X-9617;1.12.1981;5332.3;16;177.8;;29.99;
X-307;1.12.1981;2755.1;64;88.9;;30.99;
X-469;1.12.1981;2066.4;52;66.7;;30.99;
X-4328;1.12.1981;842.5;37;211.2;;3.99;
X-5076;1.12.1981;977.5;321;33.3;;29.32;
X-9312;1.12.1981;5510.1;54;177.8;;30.99;
X-4739;1.12.1981;2177.4;584;77.8;;27.99;
X-4733;1.12.1981;1033.1;50;33.3;;30.99;
X-5249;1.12.1981;3443.8;256;111.1;;30.99;
X-1802;1.12.1981;1721.9;237;55.6;;30.99;
X-97;1.12.1981;2066.4;78;66.7;;30.99;
X-5842;1.12.1981;1033.1;66;33.3;;30.99;
X-8217;1.12.1981;622;226;22.2;;27.99;
X-1971;1.12.1981;688.7;63;22.2;;30.99;
X-10467;1.12.1981;3443.8;15;111.1;;30.99;
X-595;1.12.1981;1377.5;379;44.4;;30.99;
X-7837;1.12.1981;1377.5;206;44.4;;30.99;
X-8326;1.12.1981;8517.8;71;277.8;;30.66;
X-1993;1.12.1981;3443.8;1802;111.1;;30.99;
X-3757;1.12.1981;852.8;43;33.3;;25.58;
X-9007;1.12.1981;370.5;54;22.2;;16.67;
X-6499;1.12.1981;977.5;441;44.5;;21.99;
X-5708;1.12.1981;1269.9;333;44.4;;28.57;
X-5239;1.12.1981;3300.4;144;122.2;;27;
X-4872;1.12.1981;688.7;10;22.2;;30.99;
X-7474;1.12.1981;1033.1;35;33.3;;30.99;
X-9149;1.12.1981;1932.9;139;66.7;;28.99;
X-4065;1.12.1981;13430.8;141;433.4;;30.99;
X-1665;1.12.1981;1033.1;215;33.3;;30.99;
X-4755;1.12.1981;36160.1;125;1166.8;;30.99;
X-3204;1.12.1981;1555.2;155;55.6;;27.99;
X-5227;1.12.1981;688.7;28;22.2;;30.99;
X-696;1.12.1981;641.7;12;77.8;;8.25;
X-3980;1.12.1981;2106.5;129;77.8;;27.08;
X-4560;1.12.1981;5165.7;83;166.7;;30.99;
X-7103;1.12.1981;1377.5;43;44.4;;30.99;
X-7398;1.12.1981;1214.9;112;44.5;;27.33;
X-2255;1.12.1981;1033.1;16;33.3;;30.99;
X-6713;1.12.1981;688.7;13;22.2;;30.99;
X-9142;1.12.1981;644.3;62;22.2;;28.99;
X-5308;1.12.1981;1721.9;751;55.6;;30.99;
X-8831;1.12.1981;2295.9;252;111.1;;20.66;
X-8488;1.12.1981;7576.4;10;244.5;;30.99;
X-1491;1.12.1981;1899.2;34;100;;18.99;
X-3202;1.12.1981;2577.2;28;88.9;;28.99;
X-2692;1.12.1981;1476.3;302;55.6;;26.57;
X-9977;1.12.1981;674.1;52;22.2;;30.33;
X-9802;1.12.1981;8265.2;14;266.7;;30.99;
X-6772;1.12.1981;5666.7;65;200;;28.33;
X-955;1.12.1981;1957.3;5;100;;19.57;
X-5995;1.12.1981;2410.7;45;77.8;;30.99;
X-9958;1.12.1981;2810.2;216;122.2;;22.99;
