Well;XCOOR;YCOOR;EOR_Region;RF_Region;Facility;Status
X A-4494;4380.686529;1082.005082;8;orta;F4;DIN
X A-8960;4236.133726;1380.076865;7;orta;;GOZ
X-10103;4294.04141;1116.984357;8;orta;F4;INJSHI
X-10130;3869.811069;1225.950843;7;orta;F3;URT
X-10272;6896.347096;1129.64001;11;dogu;F5;URT
X-10382;3772.043364;1393.843167;7;orta;F3;URT
X-10421;3022.673337;1283.364395;5;bati;F2;INJ
X-10440;3083.545412;861.031145;6;bati;F2;DIN
X-10467;5165.241333;1146.943173;9;dogu;F4;URT
X-10537;3143.760094;1219.340232;5;bati;F2;URT
X-1056;5869.524865;1107.746713;11;dogu;F5;URT
X-10780;2557.108946;824.490405;4;bati;F2;INJSHI
X-10877;2247.09745;1103.828707;4;bati;F2;DIN
X-10937;5451.721452;1321.433813;9;dogu;F4;URT
X-10939;4491.295841;998.9523567;8;orta;F4;DIN
X-10953;4900.557238;1292.40122;9;dogu;F4;URT
X-10971;4334.726234;1038.439798;8;orta;F4;DIN
X-1101;5607.433591;1229.090167;9;dogu;;URT
X-1111;5303.448871;1196.192845;9;dogu;F4;URT
X-1136;5789.951818;1160.648;9;dogu;F5;URT
X-1188;1023.931338;1407.670943;1;bati;F1;URT
X-1222;2544.581745;927.4159483;4;bati;F2;DIN
X-128;1931.618573;701.5608967;3;bati;F1;URT
X-1383;3255.480032;1394.408737;5;bati;F3;INJ
X-1419;5401.535065;991.702405;9;dogu;F4;DIN
X-1491;5204.831864;1205.729667;9;dogu;F4;URT
X-1499;5514.447291;813.277365;8;dogu;F4;INJ
X-1514;6215.652105;1125.722003;11;dogu;F5;INJ
X-1517;4025.608955;1239.336;7;orta;F3;OLUR
X-1602;5112.498873;821.392065;8;dogu;F4;INJ
X-1624;5212.181591;1000.813;8;dogu;F4;OLUR
X-1643;1662.647137;1219.504165;5;bati;F1;DIN
X-1665;6402.020773;1190.156;11;dogu;F5;URT
X-1683;1539.931191;699.5281233;2;bati;F1;URT
X-1751;3181.202871;895.6989467;6;bati;F2;DIN
X-1802;3781.696005;886.44491;6;orta;F3;URT
X-1862;6837.798352;966.4156883;10;dogu;F5;DIN
X-1872;6720.304795;1005.858048;10;dogu;F5;DIN
X-1878;1321.305387;1273.003808;2;bati;F1;DIN
X-1898;6124.331744;1019.898938;10;dogu;F5;DIN
X-1924;4636.555034;738.622125;8;orta;F4;DIN
X-1971;4785.86066;1453.555883;9;orta;F4;URT
X-1987;3835.57359;1466.346782;7;orta;F3;URT
X-1993;4883.999935;1180.36918;8;orta;F4;URT
X-2035;3651.940654;839.72391;6;orta;F3;INJ
X-2040;4755.820692;952.3911917;8;orta;F4;TERK
X-2144;5897.629406;1477.41638;9;dogu;F4;INJ
X-2186;1539.665784;1119.824502;2;bati;F1;DIN
X-2212;2815.52944;1442.96579;5;bati;F2;URT
X-2220;1446.091506;822.5641883;2;bati;F1;INJ
X-2255;3104.590131;1388.187467;5;bati;F2;URT
X-2282;3264.042464;618.3237467;6;bati;F3;INJ
X-2319;2456.380934;716.9747283;4;bati;F2;DIN
X-2351;5137.410365;1342.134495;9;dogu;F4;DIN
