Well;Date_;Pump_Type;Rig_Type;Work_Done;Notes
X-3527;14.12.1981;SRP;RP;Work#3;
X-3824;14.12.1981;SRP;RP;Work#9;
X-9007;14.12.1981;SRP;RP;Work#1;
X-4896;13.12.1981;SRP;RP;Work#3;
X-2601;13.12.1981;PCP;RP;Work#2;
X-1491;13.12.1981;SRP;RP;Work#9;
X-1136;13.12.1981;SRP;RP;Work#3;
X-1101;13.12.1981;SRP;RP;Work#4;
X-7534;13.12.1981;SRP;RP;Work#3;
X-7930;13.12.1981;SRP;SV;Work#9;
X-4328;13.12.1981;SRP;RP;Work#4;
X-9983;14.12.1981;SRP;SV;Work#6;
X-2649;12.12.1981;SRP;SV;Work#3;
X-5239;12.12.1981;SRP;RP;Work#6;
X-9007;12.12.1981;SRP;RP;Work#7;
X-8556;12.12.1981;SRP;SV;Work#7;
X-3962;11.12.1981;SRP;RP;Work#4;
X-6112;12.12.1981;PCP;RP;Work#10;
X-7619;11.12.1981;SRP;RP;Work#10;
X-955;11.12.1981;SRP;RP;Work#4;
X-4896;10.12.1981;SRP;RP;Work#3;
X-1136;10.12.1981;SRP;RP;Work#4;
X-1101;10.12.1981;SRP;RP;Work#8;
X-9007;10.12.1981;SRP;RP;Work#9;
X-3811;9.12.1981;SRP;RP;Work#2;
X-7146;9.12.1981;SRP;RP;Work#4;
X-4456;9.12.1981;SRP;RP;Work#8;
X-3962;9.12.1981;SRP;RP;Work#10;
X-10953;9.12.1981;SRP;RP;Work#4;
X-3824;11.12.1981;SRP;SV;Work#6;
X-4344;10.12.1981;SRP;RP;Work#3;
X-9958;10.12.1981;PCP;SV;Work#3;
X-3757;10.12.1981;SRP;RP;Work#9;
X-1056;11.12.1981;SRP;RP;Work#9;
X-7720;11.12.1981;SRP;SV;Work#2;
X-10537;11.12.1981;SRP;SV;Work#6;
X-6112;9.12.1981;PCP;RP;Work#2;
X-1136;8.12.1981;SRP;SV;Work#5;
X-9007;8.12.1981;SRP;SV;Work#9;
X-955;7.12.1981;SRP;SV;Work#6;
