Well;Date_;Daily_Water_Injection_bbl;Monthly_Water_Injection_bbl;Pwh_psi;Pan_psi;Liquid_level_in_anulus_m;Work_Days;Notes
X-8953;1981-08-01;65.48;2030;100.0;0.0;0.0;31;
X-3081;1981-08-01;29.77;923;50.0;120.0;0.0;31;
X-900;1981-08-01;11.39;353;160.0;0.0;0.0;31;
X-8953;1981-07-01;15.71;487;100.0;0.0;0.0;31;
X-3081;1981-07-01;9.42;292;220.0;120.0;0.0;31;
X-900;1981-07-01;28.68;889;250.0;0.0;0.0;31;
X-8953;1981-06-01;32.27;968;120.0;0.0;0.0;30;
X-3081;1981-06-01;24.27;728;200.0;0.0;0.0;30;
X-900;1981-06-01;76.87;2306;200.0;0.0;0.0;30;
X-8953;1981-05-01;36.94;1145;300.0;0.0;0.0;31;
X-3081;1981-05-01;27.1;840;380.0;0.0;0.0;31;
X-900;1981-05-01;91.58;2839;450.0;0.0;0.0;31;
X-900;1981-04-01;178.67;5360;640.0;640.0;0.0;30;
X-900;1981-03-01;169.23;5246;520.0;0.0;0.0;31;
X-900;1981-02-01;177.66;5152;100.0;0.0;0.0;29;
X-900;1981-01-01;210.74;6533;0.0;0.0;0.0;31;
X-900;1980-12-01;28.0;869;200.0;0.0;;31;
X-900;1980-11-01;28.0;867;480.0;0.0;;30;
X-900;1980-10-01;45.0;1403;280.0;0.0;;31;
X-900;1980-09-01;166.0;4995;90.0;0.0;;30;
X-900;1980-08-01;88.0;2758;100.0;0.0;;31;
X-900;1980-07-01;102.0;3191;220.0;0.0;;31;
X-900;1980-06-01;232.0;6978;180.0;0.0;;30;
X-900;1980-05-01;578.0;17941;0.0;0.0;;31;
X-900;1980-04-01;502.0;15073;0.0;0.0;;30;
X-900;1980-03-01;276.0;8572;240.0;0.0;;31;
X-900;1980-02-01;284.0;7978;340.0;0.0;;28;
X-8953;1980-01-01;599.0;18578;340.0;0.0;;31;
X-3081;1980-01-01;599.0;18578;520.0;0.0;;31;
X-900;1980-01-01;178.0;5519;340.0;0.0;;31;
X-8953;1979-12-01;1581.0;49028;460.0;0.0;;31;
X-3081;1979-12-01;1581.0;49028;520.0;0.0;;31;
X-900;1979-12-01;418.0;12974;540.0;0.0;;31;
X-8953;1979-11-01;1115.0;33454;480.0;0.0;;30;
X-3081;1979-11-01;1064.0;31934;520.0;0.0;;30;
X-900;1979-11-01;1419.0;42578;540.0;0.0;;30;
X-8953;1979-10-01;761.0;23613;160.0;0.0;;31;
X-3081;1979-10-01;761.0;23613;300.0;0.0;;31;
X-900;1979-10-01;1575.0;48843;280.0;0.0;;31;
X-900;1979-09-01;115.0;3460;200.0;0.0;;30;
X-900;1979-08-01;110.0;3427;200.0;0.0;;31;
X-900;1979-07-01;118.0;3666;300.0;0.0;;31;
X-900;1979-06-01;83.0;2509;240.0;0.0;;30;
X-900;1979-05-01;89.0;2784;220.0;0.0;;31;
X-900;1979-04-01;124.0;3724;220.0;0.0;;30;
X-900;1979-03-01;151.0;4707;220.0;0.0;;31;
X-900;1979-02-01;139.0;3919;220.0;0.0;;28;
X-900;1979-01-01;143.0;4439;220.0;0.0;;31;
X-900;1978-12-01;906.0;28113;220.0;0.0;;31;
X-900;1978-11-01;3625.0;108777;250.0;0.0;;30;
X-900;1978-10-01;4222.0;130886;460.0;0.0;;31;
X-900;1978-09-01;4853.0;145605;330.0;0.0;;30;
X-900;1978-08-01;273.0;8466;380.0;0.0;;31;
X-900;1978-07-01;322.0;10007;500.0;0.0;;31;
X-900;1978-06-01;255.0;7659;420.0;0.0;;30;
X-900;1978-05-01;225.0;6975;420.0;0.0;;31;
X-900;1978-04-01;286.0;8584;440.0;0.0;;30;
X-900;1978-03-01;357.0;11084;440.0;0.0;;31;
X-900;1978-02-01;358.0;10037;480.0;0.0;;28;
X-900;1978-01-01;331.0;10267;480.0;0.0;;31;
X-900;1977-12-01;304.0;9450;480.0;0.0;;31;
X-900;1977-11-01;350.0;10507;220.0;0.0;;30;
X-900;1977-10-01;237.0;7361;420.0;0.0;;31;
X-900;1977-09-01;235.0;7069;340.0;0.0;;30;
X-900;1977-08-01;223.0;6928;100.0;0.0;;31;
X-900;1977-07-01;210.0;6521;40.0;0.0;;31;
X-900;1977-06-01;230.0;6914;220.0;0.0;;30;
X-900;1977-05-01;281.0;8720;0.0;0.0;;31;
X-900;1977-04-01;229.0;6881;220.0;0.0;;30;
X-8953;1977-03-01;813.0;25221;0.0;0.0;;31;
X-3081;1977-03-01;813.0;25221;0.0;0.0;;31;
X-900;1977-03-01;1338.0;41500;300.0;0.0;;31;
X-8953;1977-02-01;1023.0;29694;440.0;0.0;;29;
X-3081;1977-02-01;1023.0;29694;240.0;0.0;;29;
X-900;1977-02-01;441.0;12801;300.0;0.0;;29;
X-8953;1977-01-01;572.0;17740;0.0;0.0;;31;
X-3081;1977-01-01;572.0;17740;0.0;0.0;;31;
X-900;1977-01-01;797.0;24723;420.0;0.0;;31;
X-900;1976-12-01;550.0;17062;420.0;0.0;;31;
X-900;1976-11-01;1110.0;33302;120.0;0.0;;30;
X-900;1976-07-01;302.0;9378;0.0;0.0;;31;
X-900;1976-06-01;381.0;11434;180.0;0.0;;30;
X-900;1976-05-01;326.0;10122;240.0;0.0;;31;
X-900;1976-04-01;284.0;8530;260.0;0.0;;30;
X-3947;1976-03-01;452.0;14039;0.0;0.0;;31;
X-900;1976-03-01;220.0;6832;260.0;0.0;;31;
